trial_id,study_id,study_phase
3080,3,Phase 2
3081,11,Phase 2
3082,168,Phase 2
3083,173,Phase 1
3084,75,Phase 1
3085,97,Phase 3
3086,102,Phase 1
3087,92,Phase 3
3088,129,Phase 2
3089,15,Phase 3
3090,82,Phase 3
3091,128,Phase 3
3092,41,Phase 1
3093,170,Phase 2
3094,23,Phase 2
3095,185,Phase 1
3096,32,Phase 1
3097,99,Phase 3
3098,9,Phase 1
3099,127,Phase 3
3100,183,Phase 1
3101,138,Phase 2
3102,66,Phase 3
3103,102,Phase 2
3104,140,Phase 3
3105,132,Phase 2
3106,179,Phase 2
3107,177,Phase 1
3108,198,Phase 3
3109,89,Phase 2
3110,133,Phase 2
3111,102,Phase 1
3112,18,Phase 3
3113,71,Phase 2
3114,102,Phase 2
3115,11,Phase 3
3116,66,Phase 2
3117,112,Phase 2
3118,127,Phase 3
3119,133,Phase 3
3120,131,Phase 3
3121,164,Phase 1
3122,178,Phase 1
3123,192,Phase 1
3124,149,Phase 2
3125,26,Phase 3
3126,154,Phase 3
3127,4,Phase 3
3128,154,Phase 1
3129,121,Phase 3
3130,178,Phase 3
3131,159,Phase 3
3132,50,Phase 1
3133,45,Phase 2
3134,41,Phase 1
3135,195,Phase 3
3136,147,Phase 2
3137,8,Phase 1
3138,60,Phase 1
3139,148,Phase 3
3140,89,Phase 1
3141,46,Phase 1
3142,38,Phase 2
3143,179,Phase 2
3144,187,Phase 3
3145,57,Phase 2
3146,177,Phase 1
3147,121,Phase 3
3148,113,Phase 3
3149,1,Phase 1
3150,84,Phase 2
3151,84,Phase 2
3152,112,Phase 3
3153,173,Phase 3
3154,14,Phase 2
3155,177,Phase 1
3156,51,Phase 3
3157,105,Phase 3
3158,162,Phase 2
3159,146,Phase 1
3160,4,Phase 2
3161,53,Phase 2
3162,70,Phase 2
3163,194,Phase 3
3164,34,Phase 1
3165,16,Phase 1
3166,76,Phase 2
3167,34,Phase 2
3168,85,Phase 2
3169,96,Phase 2
3170,151,Phase 1
3171,121,Phase 3
3172,131,Phase 3
3173,129,Phase 1
3174,148,Phase 1
3175,130,Phase 3
3176,178,Phase 2
3177,172,Phase 3
3178,61,Phase 1
3179,18,Phase 2
3180,10,Phase 2
3181,46,Phase 2
3182,129,Phase 3
3183,6,Phase 1
3184,181,Phase 2
3185,21,Phase 2
3186,113,Phase 3
3187,33,Phase 2
3188,65,Phase 1
3189,127,Phase 2
3190,159,Phase 2
3191,175,Phase 2
3192,72,Phase 2
3193,28,Phase 1
3194,97,Phase 3
3195,85,Phase 1
3196,144,Phase 1
3197,113,Phase 2
3198,49,Phase 2
3199,99,Phase 2
3200,77,Phase 3
3201,84,Phase 1
3202,102,Phase 1
3203,133,Phase 1
3204,116,Phase 1
3205,6,Phase 3
3206,190,Phase 3
3207,1,Phase 3
3208,1,Phase 2
3209,114,Phase 1
3210,35,Phase 2
3211,119,Phase 1
3212,60,Phase 1
3213,167,Phase 1
3214,113,Phase 1
3215,139,Phase 1
3216,37,Phase 2
3217,20,Phase 2
3218,53,Phase 2
3219,120,Phase 2
3220,119,Phase 2
3221,100,Phase 3
3222,118,Phase 3
3223,190,Phase 3
3224,1,Phase 2
3225,161,Phase 1
3226,141,Phase 3
3227,71,Phase 3
3228,71,Phase 3
3229,56,Phase 3
3230,150,Phase 2
3231,38,Phase 2
3232,13,Phase 2
3233,1,Phase 3
3234,175,Phase 3
3235,160,Phase 2
3236,187,Phase 3
3237,22,Phase 2
3238,179,Phase 3
3239,43,Phase 3
3240,15,Phase 1
3241,87,Phase 3
3242,123,Phase 3
3243,9,Phase 2
3244,114,Phase 2
3245,127,Phase 1
3246,110,Phase 3
3247,146,Phase 2
3248,154,Phase 3
3249,42,Phase 3
3250,108,Phase 3
3251,48,Phase 2
3252,186,Phase 2
3253,133,Phase 3
3254,92,Phase 1
3255,53,Phase 2
3256,33,Phase 2
3257,192,Phase 1
3258,7,Phase 1
3259,34,Phase 1
3260,21,Phase 1
3261,167,Phase 1
3262,175,Phase 1
3263,53,Phase 1
3264,120,Phase 1
3265,129,Phase 3
3266,30,Phase 3
3267,50,Phase 3
3268,28,Phase 3
3269,98,Phase 1
3270,30,Phase 2
3271,146,Phase 1
3272,95,Phase 3
3273,165,Phase 1
3274,74,Phase 2
3275,194,Phase 1
3276,80,Phase 1
3277,12,Phase 2
3278,30,Phase 2
3279,195,Phase 1
3280,142,Phase 2
3281,96,Phase 1
3282,29,Phase 2
3283,197,Phase 1
3284,182,Phase 1
3285,139,Phase 1
3286,105,Phase 2
3287,5,Phase 3
3288,12,Phase 1
3289,1,Phase 3
3290,17,Phase 1
3291,173,Phase 2
3292,122,Phase 2
3293,191,Phase 1
3294,123,Phase 1
3295,25,Phase 3
3296,33,Phase 3
3297,126,Phase 3
3298,50,Phase 2
3299,187,Phase 3
3300,27,Phase 1
3301,175,Phase 3
3302,53,Phase 2
3303,99,Phase 1
3304,133,Phase 1
3305,74,Phase 1
3306,75,Phase 3
3307,135,Phase 3
3308,70,Phase 3
3309,180,Phase 3
3310,94,Phase 3
3311,179,Phase 2
3312,198,Phase 2
3313,148,Phase 2
3314,79,Phase 3
3315,11,Phase 2
3316,109,Phase 1
3317,86,Phase 2
3318,97,Phase 3
3319,6,Phase 1
3320,151,Phase 1
3321,7,Phase 1
3322,22,Phase 2
3323,192,Phase 3
3324,10,Phase 2
3325,141,Phase 2
3326,79,Phase 3
3327,79,Phase 1
3328,173,Phase 3
3329,92,Phase 3
3330,70,Phase 2
3331,161,Phase 2
3332,6,Phase 2
3333,5,Phase 1
3334,140,Phase 2
3335,84,Phase 2
3336,165,Phase 1
3337,68,Phase 1
3338,186,Phase 1
3339,137,Phase 2
3340,89,Phase 3
3341,149,Phase 3
3342,39,Phase 1
3343,77,Phase 3
3344,57,Phase 2
3345,75,Phase 2
3346,77,Phase 1
3347,98,Phase 3
3348,97,Phase 1
3349,163,Phase 1
3350,61,Phase 2
3351,43,Phase 3
3352,147,Phase 1
3353,165,Phase 2
3354,137,Phase 3
3355,197,Phase 3
3356,112,Phase 2
3357,139,Phase 1
3358,97,Phase 2
3359,198,Phase 2
3360,151,Phase 1
3361,166,Phase 2
3362,122,Phase 3
3363,102,Phase 1
3364,124,Phase 1
3365,177,Phase 2
3366,4,Phase 1
3367,52,Phase 1
3368,169,Phase 3
3369,199,Phase 3
3370,107,Phase 1
3371,50,Phase 2
3372,65,Phase 3
3373,74,Phase 2
3374,16,Phase 3
3375,91,Phase 1
3376,161,Phase 3
3377,90,Phase 3
3378,106,Phase 2
3379,124,Phase 2
3380,38,Phase 3
3381,1,Phase 2
3382,67,Phase 1
3383,34,Phase 2
3384,37,Phase 1
3385,73,Phase 2
3386,161,Phase 2
3387,45,Phase 2
3388,47,Phase 2
3389,44,Phase 1
3390,176,Phase 3
3391,156,Phase 2
3392,78,Phase 1
3393,142,Phase 3
3394,15,Phase 2
3395,23,Phase 3
3396,22,Phase 2
3397,65,Phase 1
3398,72,Phase 2
3399,13,Phase 1
3400,170,Phase 1
3401,146,Phase 2
3402,197,Phase 3
3403,141,Phase 1
3404,63,Phase 3
3405,197,Phase 1
3406,57,Phase 3
3407,142,Phase 3
3408,177,Phase 1
3409,134,Phase 3
3410,51,Phase 3
3411,7,Phase 3
3412,129,Phase 2
3413,61,Phase 3
3414,174,Phase 1
3415,156,Phase 1
3416,117,Phase 3
3417,72,Phase 1
3418,61,Phase 2
3419,69,Phase 3
3420,112,Phase 1
3421,126,Phase 2
3422,176,Phase 2
3423,127,Phase 1
3424,55,Phase 3
3425,44,Phase 2
3426,59,Phase 1
3427,11,Phase 1
3428,100,Phase 1
3429,31,Phase 1
3430,157,Phase 3
3431,22,Phase 1
3432,128,Phase 2
3433,175,Phase 2
3434,29,Phase 2
3435,178,Phase 3
3436,32,Phase 3
3437,136,Phase 3
3438,181,Phase 3
3439,163,Phase 2
3440,30,Phase 1
3441,99,Phase 3
3442,52,Phase 3
3443,72,Phase 2
3444,159,Phase 1
3445,6,Phase 2
3446,177,Phase 1
3447,183,Phase 1
3448,29,Phase 2
3449,48,Phase 3
3450,200,Phase 1
3451,135,Phase 2
3452,21,Phase 1
3453,53,Phase 2
3454,53,Phase 2
3455,144,Phase 2
3456,42,Phase 3
3457,155,Phase 2
3458,41,Phase 2
3459,96,Phase 1
3460,87,Phase 3
3461,179,Phase 3
3462,73,Phase 2
3463,80,Phase 3
3464,169,Phase 1
3465,189,Phase 2
3466,28,Phase 3
3467,135,Phase 3
3468,130,Phase 3
3469,18,Phase 1
3470,24,Phase 1
3471,53,Phase 1
3472,38,Phase 3
3473,191,Phase 1
3474,54,Phase 1
3475,102,Phase 3
3476,141,Phase 3
3477,25,Phase 3
3478,135,Phase 2
3479,29,Phase 1
3480,189,Phase 2
3481,43,Phase 3
3482,178,Phase 2
3483,90,Phase 1
3484,175,Phase 2
3485,126,Phase 2
3486,174,Phase 2
3487,31,Phase 3
3488,117,Phase 3
3489,104,Phase 2
3490,85,Phase 2
3491,24,Phase 3
3492,108,Phase 2
3493,121,Phase 1
3494,140,Phase 3
3495,126,Phase 2
3496,33,Phase 2
3497,54,Phase 3
3498,47,Phase 1
3499,190,Phase 1
3500,33,Phase 1
3501,64,Phase 3
3502,156,Phase 1
3503,110,Phase 1
3504,68,Phase 1
3505,56,Phase 2
3506,128,Phase 2
3507,135,Phase 3
3508,119,Phase 2
3509,169,Phase 3
3510,132,Phase 3
3511,69,Phase 2
3512,198,Phase 1
3513,134,Phase 3
3514,25,Phase 2
3515,174,Phase 2
3516,180,Phase 1
3517,29,Phase 3
3518,115,Phase 3
3519,140,Phase 1
3520,56,Phase 2
3521,193,Phase 2
3522,138,Phase 1
3523,154,Phase 1
3524,85,Phase 3
3525,86,Phase 2
3526,175,Phase 1
3527,122,Phase 1
3528,139,Phase 1
3529,130,Phase 2
3530,100,Phase 1
3531,132,Phase 1
3532,17,Phase 3
3533,190,Phase 2
3534,200,Phase 3
3535,129,Phase 1
3536,78,Phase 3
3537,63,Phase 2
3538,200,Phase 1
3539,170,Phase 2
3540,17,Phase 2
3541,108,Phase 3
3542,81,Phase 1
3543,200,Phase 3
3544,188,Phase 2
3545,152,Phase 3
3546,101,Phase 1
3547,19,Phase 2
3548,116,Phase 1
3549,167,Phase 2
3550,98,Phase 1
3551,28,Phase 3
3552,114,Phase 3
3553,76,Phase 3
3554,57,Phase 1
3555,49,Phase 2
3556,128,Phase 2
3557,150,Phase 2
3558,96,Phase 3
3559,174,Phase 3
3560,88,Phase 1
3561,129,Phase 1
3562,50,Phase 1
3563,37,Phase 2
3564,9,Phase 2
3565,105,Phase 3
3566,167,Phase 2
3567,66,Phase 2
3568,152,Phase 3
3569,164,Phase 2
3570,36,Phase 2
3571,22,Phase 2
3572,106,Phase 3
3573,148,Phase 3
3574,122,Phase 3
3575,150,Phase 1
3576,83,Phase 1
3577,189,Phase 2
3578,175,Phase 3
3579,107,Phase 3
3580,184,Phase 2
3581,57,Phase 1
3582,43,Phase 3
3583,80,Phase 1
3584,38,Phase 3
3585,85,Phase 2
3586,61,Phase 3
3587,184,Phase 1
3588,39,Phase 3
3589,9,Phase 3
3590,40,Phase 2
3591,123,Phase 2
3592,57,Phase 2
3593,171,Phase 2
3594,62,Phase 1
3595,37,Phase 2
3596,13,Phase 3
3597,116,Phase 2
3598,33,Phase 2
3599,8,Phase 2
3600,11,Phase 2
3601,180,Phase 2
3602,135,Phase 3
3603,174,Phase 3
3604,190,Phase 1
3605,40,Phase 3
3606,174,Phase 3
3607,140,Phase 3
3608,5,Phase 2
3609,163,Phase 2
3610,54,Phase 3
3611,136,Phase 3
3612,73,Phase 1
3613,102,Phase 1
3614,174,Phase 3
3615,68,Phase 1
3616,102,Phase 1
3617,187,Phase 1
3618,1,Phase 3
3619,27,Phase 1
3620,85,Phase 1
3621,30,Phase 1
3622,86,Phase 2
3623,100,Phase 3
3624,43,Phase 3
3625,123,Phase 2
3626,94,Phase 2
3627,133,Phase 2
3628,161,Phase 2
3629,55,Phase 2
3630,112,Phase 2
3631,147,Phase 3
3632,185,Phase 1
3633,32,Phase 2
3634,135,Phase 1
3635,10,Phase 1
3636,88,Phase 2
3637,8,Phase 1
3638,103,Phase 3
3639,193,Phase 2
3640,62,Phase 2
3641,184,Phase 3
3642,151,Phase 3
3643,126,Phase 1
3644,44,Phase 3
3645,38,Phase 1
3646,83,Phase 2
3647,29,Phase 3
3648,101,Phase 3
3649,89,Phase 1
3650,11,Phase 1
3651,167,Phase 2
3652,182,Phase 3
3653,137,Phase 3
3654,12,Phase 1
3655,113,Phase 1
3656,141,Phase 2
3657,83,Phase 1
3658,97,Phase 3
3659,110,Phase 3
3660,27,Phase 2
3661,167,Phase 2
3662,101,Phase 2
3663,108,Phase 2
3664,94,Phase 1
3665,151,Phase 2
3666,5,Phase 3
3667,45,Phase 1
3668,192,Phase 2
3669,187,Phase 1
3670,102,Phase 1
3671,50,Phase 2
3672,81,Phase 3
3673,41,Phase 3
3674,41,Phase 3
3675,96,Phase 3
3676,59,Phase 2
3677,109,Phase 2
3678,75,Phase 1
3679,171,Phase 3
3680,83,Phase 3
3681,156,Phase 2
3682,179,Phase 2
3683,26,Phase 2
3684,52,Phase 3
3685,87,Phase 2
3686,10,Phase 3
3687,170,Phase 1
3688,134,Phase 2
3689,193,Phase 2
3690,41,Phase 2
3691,23,Phase 2
3692,149,Phase 2
3693,86,Phase 1
3694,61,Phase 2
3695,163,Phase 2
3696,87,Phase 3
3697,88,Phase 1
3698,134,Phase 2
3699,170,Phase 2
3700,141,Phase 1
3701,125,Phase 1
3702,96,Phase 1
3703,122,Phase 1
3704,174,Phase 3
3705,166,Phase 1
3706,136,Phase 1
3707,99,Phase 3
3708,123,Phase 1
3709,98,Phase 2
3710,62,Phase 1
3711,41,Phase 3
3712,86,Phase 1
3713,172,Phase 2
3714,28,Phase 1
3715,92,Phase 2
3716,133,Phase 2
3717,53,Phase 1
3718,18,Phase 3
3719,41,Phase 3
3720,85,Phase 3
3721,148,Phase 1
3722,46,Phase 3
3723,158,Phase 3
3724,54,Phase 1
3725,30,Phase 2
3726,130,Phase 2
3727,18,Phase 2
3728,72,Phase 1
3729,102,Phase 2
3730,23,Phase 3
3731,51,Phase 1
3732,72,Phase 1
3733,26,Phase 1
3734,119,Phase 3
3735,32,Phase 3
3736,152,Phase 1
3737,177,Phase 1
3738,51,Phase 1
3739,179,Phase 3
3740,75,Phase 2
3741,89,Phase 2
3742,55,Phase 3
3743,119,Phase 2
3744,111,Phase 2
3745,26,Phase 2
3746,72,Phase 1
3747,81,Phase 3
3748,10,Phase 1
3749,163,Phase 3
3750,186,Phase 3
3751,13,Phase 1
3752,117,Phase 1
3753,98,Phase 1
3754,50,Phase 1
3755,142,Phase 1
3756,192,Phase 1
3757,155,Phase 2
3758,14,Phase 3
3759,128,Phase 3
3760,23,Phase 2
3761,146,Phase 3
3762,93,Phase 3
3763,51,Phase 3
3764,53,Phase 3
3765,96,Phase 1
3766,166,Phase 2
3767,24,Phase 2
3768,121,Phase 3
3769,72,Phase 3
3770,79,Phase 1
3771,160,Phase 1
3772,196,Phase 2
3773,182,Phase 2
3774,145,Phase 3
3775,5,Phase 1
3776,25,Phase 2
3777,150,Phase 3
3778,138,Phase 1
3779,29,Phase 3
3780,53,Phase 2
3781,174,Phase 1
3782,5,Phase 2
3783,129,Phase 3
3784,179,Phase 2
3785,18,Phase 3
3786,73,Phase 1
3787,68,Phase 1
3788,170,Phase 3
3789,53,Phase 1
3790,96,Phase 1
3791,19,Phase 1
3792,193,Phase 2
3793,151,Phase 2
3794,121,Phase 2
3795,57,Phase 2
3796,69,Phase 1
3797,165,Phase 1
3798,165,Phase 2
3799,196,Phase 3
3800,181,Phase 2
3801,10,Phase 3
3802,16,Phase 2
3803,24,Phase 3
3804,71,Phase 2
3805,121,Phase 3
3806,99,Phase 1
3807,194,Phase 1
3808,117,Phase 2
3809,183,Phase 2
3810,13,Phase 3
3811,19,Phase 3
3812,144,Phase 2
3813,61,Phase 2
3814,156,Phase 2
3815,146,Phase 1
3816,129,Phase 3
3817,30,Phase 1
3818,80,Phase 1
3819,143,Phase 3
3820,43,Phase 2
3821,58,Phase 3
3822,32,Phase 1
3823,61,Phase 2
3824,9,Phase 2
3825,127,Phase 2
3826,22,Phase 3
3827,12,Phase 2
3828,9,Phase 3
3829,141,Phase 2
3830,50,Phase 1
3831,83,Phase 2
3832,55,Phase 2
3833,166,Phase 2
3834,184,Phase 2
3835,138,Phase 3
3836,66,Phase 1
3837,31,Phase 2
3838,46,Phase 1
3839,87,Phase 1
3840,96,Phase 3
3841,125,Phase 2
3842,10,Phase 3
3843,182,Phase 2
3844,94,Phase 1
3845,194,Phase 2
3846,64,Phase 3
3847,188,Phase 1
3848,29,Phase 3
3849,125,Phase 1
3850,169,Phase 3
3851,92,Phase 2
3852,32,Phase 3
3853,14,Phase 1
3854,35,Phase 3
3855,12,Phase 2
3856,3,Phase 1
3857,128,Phase 2
3858,172,Phase 1
3859,5,Phase 1
3860,126,Phase 2
3861,138,Phase 3
3862,64,Phase 1
3863,78,Phase 1
3864,42,Phase 3
3865,72,Phase 3
3866,85,Phase 1
3867,9,Phase 1
3868,156,Phase 2
3869,162,Phase 3
3870,51,Phase 1
3871,74,Phase 2
3872,34,Phase 3
3873,96,Phase 3
3874,72,Phase 1
3875,28,Phase 1
3876,34,Phase 2
3877,17,Phase 1
3878,131,Phase 1
3879,90,Phase 1
3880,131,Phase 1
3881,188,Phase 2
3882,114,Phase 3
3883,25,Phase 2
3884,158,Phase 2
3885,87,Phase 3
3886,183,Phase 2
3887,155,Phase 1
3888,89,Phase 3
3889,96,Phase 1
3890,42,Phase 1
3891,98,Phase 1
3892,131,Phase 2
3893,1,Phase 2
3894,5,Phase 2
3895,103,Phase 3
3896,31,Phase 2
3897,114,Phase 1
3898,196,Phase 3
3899,170,Phase 3
3900,74,Phase 3
3901,144,Phase 2
3902,157,Phase 3
3903,4,Phase 2
3904,129,Phase 3
3905,145,Phase 2
3906,65,Phase 1
3907,196,Phase 3
3908,145,Phase 2
3909,107,Phase 1
3910,103,Phase 2
3911,68,Phase 3
3912,198,Phase 1
3913,179,Phase 3
3914,126,Phase 1
3915,189,Phase 2
3916,116,Phase 1
3917,65,Phase 1
3918,104,Phase 1
3919,179,Phase 3
3920,162,Phase 3
3921,183,Phase 2
3922,38,Phase 1
3923,16,Phase 3
3924,27,Phase 3
3925,54,Phase 3
3926,66,Phase 3
3927,123,Phase 2
3928,61,Phase 3
3929,18,Phase 1
3930,33,Phase 1
3931,18,Phase 3
3932,137,Phase 3
3933,169,Phase 1
3934,113,Phase 2
3935,56,Phase 1
3936,49,Phase 3
3937,62,Phase 3
3938,9,Phase 3
3939,8,Phase 2
3940,75,Phase 2
3941,107,Phase 2
3942,34,Phase 3
3943,28,Phase 2
3944,34,Phase 2
3945,16,Phase 3
3946,168,Phase 2
3947,79,Phase 1
3948,146,Phase 3
3949,65,Phase 2
3950,182,Phase 1
3951,169,Phase 1
3952,106,Phase 3
3953,186,Phase 1
3954,20,Phase 2
3955,199,Phase 1
3956,40,Phase 2
3957,169,Phase 1
3958,154,Phase 3
3959,193,Phase 2
3960,105,Phase 1
3961,125,Phase 1
3962,184,Phase 3
3963,190,Phase 3
3964,76,Phase 1
3965,52,Phase 2
3966,108,Phase 1
3967,56,Phase 1
3968,68,Phase 2
3969,69,Phase 3
3970,60,Phase 1
3971,130,Phase 1
3972,9,Phase 3
3973,186,Phase 3
3974,53,Phase 3
3975,1,Phase 2
3976,113,Phase 2
3977,8,Phase 1
3978,116,Phase 2
3979,25,Phase 2
3980,179,Phase 1
3981,136,Phase 2
3982,186,Phase 3
3983,23,Phase 2
3984,197,Phase 3
3985,198,Phase 1
3986,141,Phase 3
3987,45,Phase 3
3988,15,Phase 3
3989,33,Phase 1
3990,68,Phase 3
3991,194,Phase 1
3992,102,Phase 3
3993,170,Phase 1
3994,69,Phase 3
3995,181,Phase 2
3996,101,Phase 3
3997,90,Phase 2
3998,79,Phase 2
3999,105,Phase 1
4000,58,Phase 1
4001,17,Phase 2
4002,83,Phase 3
4003,152,Phase 3
4004,170,Phase 2
4005,2,Phase 1
4006,169,Phase 1
4007,65,Phase 2
4008,179,Phase 1
4009,11,Phase 2
4010,169,Phase 3
4011,197,Phase 3
4012,136,Phase 1
4013,148,Phase 2
4014,193,Phase 3
4015,20,Phase 2
4016,146,Phase 1
4017,47,Phase 2
4018,21,Phase 1
4019,122,Phase 1
4020,82,Phase 3
4021,18,Phase 2
4022,183,Phase 1
4023,183,Phase 2
4024,32,Phase 2
4025,71,Phase 2
4026,179,Phase 2
4027,93,Phase 2
4028,18,Phase 2
4029,47,Phase 3
4030,152,Phase 1
4031,132,Phase 2
4032,85,Phase 1
4033,1,Phase 1
4034,182,Phase 1
4035,119,Phase 1
4036,156,Phase 1
4037,139,Phase 3
4038,99,Phase 1
4039,12,Phase 2
4040,133,Phase 3
4041,145,Phase 3
4042,40,Phase 2
4043,48,Phase 1
4044,116,Phase 2
4045,148,Phase 3
4046,148,Phase 3
4047,143,Phase 3
4048,17,Phase 2
4049,183,Phase 1
4050,199,Phase 1
4051,130,Phase 3
4052,125,Phase 3
4053,17,Phase 1
4054,61,Phase 2
4055,78,Phase 2
4056,161,Phase 1
4057,106,Phase 2
4058,126,Phase 1
4059,195,Phase 2
4060,195,Phase 2
4061,143,Phase 3
4062,37,Phase 2
4063,89,Phase 2
4064,141,Phase 1
4065,8,Phase 2
4066,155,Phase 2
4067,141,Phase 1
4068,145,Phase 3
4069,40,Phase 2
4070,121,Phase 3
4071,3,Phase 2
4072,32,Phase 1
4073,8,Phase 1
4074,167,Phase 3
4075,18,Phase 2
4076,12,Phase 1
4077,12,Phase 3
4078,105,Phase 1
4079,197,Phase 3
4080,153,Phase 2
4081,87,Phase 3
4082,4,Phase 1
4083,118,Phase 3
4084,125,Phase 1
4085,33,Phase 3
4086,159,Phase 1
4087,177,Phase 1
4088,129,Phase 2
4089,24,Phase 2
4090,118,Phase 3
4091,175,Phase 1
4092,106,Phase 2
4093,189,Phase 2
4094,19,Phase 1
4095,146,Phase 3
4096,180,Phase 3
4097,151,Phase 1
4098,113,Phase 2
4099,129,Phase 3
4100,176,Phase 2
4101,173,Phase 2
4102,167,Phase 3
4103,172,Phase 2
4104,165,Phase 2
4105,23,Phase 1
4106,153,Phase 2
4107,118,Phase 2
4108,23,Phase 1
4109,168,Phase 3
4110,97,Phase 1
4111,101,Phase 1
4112,177,Phase 1
4113,159,Phase 1
4114,110,Phase 3
4115,47,Phase 1
4116,51,Phase 3
4117,73,Phase 2
4118,112,Phase 1
4119,147,Phase 1
4120,100,Phase 2
4121,173,Phase 1
4122,22,Phase 1
4123,196,Phase 2
4124,32,Phase 1
4125,159,Phase 2
4126,162,Phase 3
4127,110,Phase 1
4128,108,Phase 1
4129,181,Phase 3
4130,133,Phase 3
4131,49,Phase 2
4132,35,Phase 1
4133,153,Phase 1
4134,131,Phase 3
4135,179,Phase 3
4136,75,Phase 2
4137,13,Phase 3
4138,4,Phase 3
4139,105,Phase 2
4140,15,Phase 3
4141,189,Phase 3
4142,1,Phase 3
4143,89,Phase 1
4144,20,Phase 2
4145,200,Phase 2
4146,130,Phase 1
4147,68,Phase 1
4148,51,Phase 1
4149,18,Phase 1
4150,116,Phase 2
4151,58,Phase 2
4152,55,Phase 1
4153,32,Phase 3
4154,93,Phase 3
4155,10,Phase 1
4156,141,Phase 3
4157,150,Phase 3
4158,146,Phase 1
4159,23,Phase 2
4160,146,Phase 2
4161,111,Phase 1
4162,127,Phase 2
4163,16,Phase 3
4164,176,Phase 3
4165,200,Phase 2
4166,138,Phase 1
4167,113,Phase 1
4168,196,Phase 2
4169,61,Phase 1
4170,190,Phase 1
4171,144,Phase 2
4172,154,Phase 1
4173,5,Phase 2
4174,2,Phase 2
4175,113,Phase 3
4176,131,Phase 1
4177,179,Phase 1
4178,106,Phase 3
4179,186,Phase 2
4180,68,Phase 1
4181,183,Phase 1
4182,64,Phase 1
4183,103,Phase 1
4184,149,Phase 1
4185,114,Phase 1
4186,196,Phase 1
4187,71,Phase 2
4188,145,Phase 2
4189,55,Phase 3
4190,123,Phase 1
4191,26,Phase 1
4192,119,Phase 3
4193,153,Phase 2
4194,136,Phase 2
4195,127,Phase 3
4196,190,Phase 1
4197,96,Phase 1
4198,104,Phase 3
4199,158,Phase 1
4200,93,Phase 1
4201,95,Phase 3
4202,51,Phase 2
4203,25,Phase 2
4204,28,Phase 2
4205,161,Phase 2
4206,117,Phase 1
4207,89,Phase 3
4208,43,Phase 1
4209,193,Phase 2
4210,16,Phase 3
4211,95,Phase 2
4212,96,Phase 1
4213,49,Phase 1
4214,181,Phase 2
4215,149,Phase 1
4216,85,Phase 3
4217,147,Phase 3
4218,31,Phase 1
4219,59,Phase 2
4220,172,Phase 2
4221,159,Phase 2
4222,52,Phase 3
4223,158,Phase 3
4224,47,Phase 3
4225,173,Phase 1
4226,129,Phase 2
4227,136,Phase 2
4228,4,Phase 3
4229,107,Phase 1
4230,184,Phase 1
4231,88,Phase 2
4232,142,Phase 1
4233,146,Phase 2
4234,142,Phase 2
4235,23,Phase 2
4236,17,Phase 1
4237,26,Phase 1
4238,1,Phase 3
4239,117,Phase 2
4240,82,Phase 1
4241,26,Phase 1
4242,74,Phase 3
4243,93,Phase 2
4244,48,Phase 3
4245,174,Phase 1
4246,180,Phase 2
4247,20,Phase 2
4248,170,Phase 1
4249,189,Phase 2
4250,183,Phase 3
4251,39,Phase 1
4252,110,Phase 1
4253,99,Phase 1
4254,161,Phase 3
4255,187,Phase 1
4256,154,Phase 3
4257,137,Phase 1
4258,148,Phase 3
4259,3,Phase 3
4260,184,Phase 1
4261,78,Phase 2
4262,87,Phase 3
4263,68,Phase 3
4264,72,Phase 3
4265,87,Phase 2
4266,36,Phase 2
4267,59,Phase 3
4268,88,Phase 3
4269,134,Phase 2
4270,77,Phase 2
4271,14,Phase 3
4272,122,Phase 2
4273,136,Phase 2
4274,126,Phase 1
4275,144,Phase 2
4276,34,Phase 2
4277,122,Phase 3
4278,181,Phase 3
4279,165,Phase 1
4280,147,Phase 3
4281,195,Phase 1
4282,4,Phase 3
4283,145,Phase 3
4284,133,Phase 2
4285,99,Phase 2
4286,135,Phase 2
4287,66,Phase 1
4288,175,Phase 1
4289,61,Phase 2
4290,129,Phase 1
4291,58,Phase 3
4292,70,Phase 1
4293,14,Phase 2
4294,4,Phase 2
4295,152,Phase 2
4296,125,Phase 3
4297,11,Phase 2
4298,151,Phase 2
4299,169,Phase 3
4300,152,Phase 3
4301,122,Phase 2
4302,52,Phase 1
4303,106,Phase 2
4304,9,Phase 3
4305,193,Phase 1
4306,6,Phase 1
4307,108,Phase 3
4308,171,Phase 2
4309,46,Phase 3
4310,66,Phase 2
4311,60,Phase 2
4312,46,Phase 3
4313,171,Phase 3
4314,196,Phase 2
4315,71,Phase 2
4316,20,Phase 1
4317,188,Phase 1
4318,17,Phase 3
4319,22,Phase 3
4320,9,Phase 3
4321,32,Phase 1
4322,32,Phase 3
4323,117,Phase 3
4324,109,Phase 3
4325,55,Phase 2
4326,108,Phase 1
4327,164,Phase 3
4328,78,Phase 2
4329,5,Phase 1
4330,185,Phase 1
4331,114,Phase 2
4332,68,Phase 3
4333,164,Phase 2
4334,166,Phase 3
4335,37,Phase 2
4336,199,Phase 2
4337,177,Phase 2
4338,46,Phase 1
4339,73,Phase 2
4340,16,Phase 1
4341,178,Phase 2
4342,200,Phase 3
4343,200,Phase 1
4344,131,Phase 3
4345,95,Phase 3
4346,78,Phase 1
4347,14,Phase 3
4348,117,Phase 2
4349,91,Phase 3
4350,183,Phase 2
